feature,label
C:\ASL_Project\asl_training\features_normalized\LOVE\9377899064716586-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\SORRY\5199425437483545-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\LESS\12975955861028488-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\WHY\1861131167759893-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\WHY\38099175964004983-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\HELP\4206186890939383-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\BAD\8500068040222597-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\WHEN\9388978622277493-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\WHEN\15106441828646178-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\MORE\48891811825038345-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\START\8795618014543152-START.npy,START
C:\ASL_Project\asl_training\features_normalized\BAD\026903804811550636-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\STOP\5241068902608812-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\4687993210650012-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\START\880391746148123-START.npy,START
C:\ASL_Project\asl_training\features_normalized\BAD\300065378201829-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\GOOD\6813680247909-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\YES\050364485120873326-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\START\3732575384926575-START.npy,START
C:\ASL_Project\asl_training\features_normalized\NO\9644130188424822-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\LESS\5607471755343187-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\WE\16945345648483068-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\LOVE\30016965472947743-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\SORRY\9645970507449169-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\NAME\5222576863044399-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\NAME\44454593042241-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\LESS\7172635775819549-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\MORE\7235081979386058-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\YOU\3273120364218567-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\THANK YOU\9701695309294336-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\SORRY\1636390875008531-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\YOU\5547769757240029-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\LOVE\544773713165329-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\YES\15498675309554577-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\LIKE\30651763223309914-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\STOP\680707762189654-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\WHY\30163868001403205-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\MORE\9000660794636397-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\NAME\68008701658875-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\GOOD\8618976665727696-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\LIKE\6108042704274992-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\YOU\01653635897919692-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\YES\9953610281521326-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\MORE\009299695590603507-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\BAD\27067652476321635-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\8604241021179426-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\PLEASE\4096147054343935-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\HELP\23773456898680978-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\MORE\15807643698153884-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\WE\11801482805093366-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\SORRY\62778761952392-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\NAME\9200587270292702-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WHY\6392085873567048-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\STOP\692674622436245-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\LIKE\8311673208101575-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\WHY\10953401131792706-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\LESS\08571801652268163-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\NAME\9031073980623976-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\START\7318461225950741-START.npy,START
C:\ASL_Project\asl_training\features_normalized\HELLO\8486809407942575-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\WHEN\19039558672419843-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\THANK YOU\014439537236845323-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6762437534373142-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\MORE\6030819884347467-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\BAD\5312089456577771-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6508787541133374-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\GOOD\5199177562877719-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\LIKE\3221250728567113-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\STOP\815577675920792-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\NO\2140134632834978-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\MORE\9858229995286099-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\HELP\7353034835882497-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\WHERE\7750734997528588-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\WHERE\9824526442836845-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\LESS\9690000210347673-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\GOOD\9338005039430839-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\YOU\19643383002170656-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\LIKE\7707078264255762-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\6508465822424006-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\WHEN\4261844758894282-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\NAME\9125300798453833-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\HELLO\11225598264242453-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6810397598953175-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\STOP\12188061798454708-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\YOU\17987836792170242-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\WHERE\2868358953291379-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\SORRY\5157432639091493-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\GOOD\971622461215417-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\THANK YOU\6936836055005255-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\WE\7484839279145117-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\WHERE\7404223141679687-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\GOOD\5088051624336825-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\WHY\2565336440424879-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\LESS\17812491887762083-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\WHERE\5589002661440625-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\LOVE\8291491506273367-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHY\36979047566586587-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\31049412762325446-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\LOVE\4841662498241295-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHY\3866568461228612-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\THANK YOU\7057474129672285-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\LIKE\6408927707140595-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\HELLO\7472491282176557-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\YES\541403296602635-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\THANK YOU\9962081495357855-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\LOVE\4194471454302029-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WE\36753258402615074-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\2374155228317818-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\LESS\818702114612541-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\BAD\25163871214803346-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\PLEASE\04515307711600891-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\STOP\16617331553945736-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\MORE\8398312100057683-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\HELLO\9008261925178431-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\NO\8079226457278508-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\NO\3247833356457248-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\LOVE\4243347380620037-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHERE\6471203705029369-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\YES\44146024789241256-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\LIKE\23961420213829476-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\MORE\9421448198356972-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\WHERE\32552115561898876-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\LIKE\9359906689689883-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\LESS\6075820262664089-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\THANK YOU\0912245735671211-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\BAD\4720037702546913-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\BAD\3763434553768781-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\SORRY\09933901999031058-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\YOU\9902995590504236-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\NAME\1420689770801613-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WHERE\8969965061622676-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\LOVE\2631901034056372-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\YES\9782863224987515-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\STOP\4382853991304725-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\LIKE\754822541664977-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\0497069696398067-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\WE\11313336559383713-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\SORRY\6387762756061144-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\STOP\07893366237759558-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\WE\6913451457780051-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\MORE\23625275644196408-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\NAME\4290157295522645-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\HELLO\1340650432799635-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\HELLO\25802117645943423-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\LESS\7473791011085458-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\HELP\12979829347320937-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\YOU\2775935043696396-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\WHY\48459131285186974-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\NO\8920807082520505-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\GOOD\18340714145664716-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\HELP\07603691172028904-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6504234134902995-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\27832701315476815-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\BAD\24751730661041682-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\WHEN\6191553425770482-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\BAD\9701304221413551-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\GOOD\008087702450223277-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\STOP\35024304836544506-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\START\861933051770718-START.npy,START
C:\ASL_Project\asl_training\features_normalized\MORE\35438732511009685-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\START\9901180674407162-START.npy,START
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6191415507296982-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\WHERE\3614350392614152-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\BAD\26378912740269156-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\PLEASE\9697873113607589-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\LESS\3766044578749139-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\START\037584338939091744-START.npy,START
C:\ASL_Project\asl_training\features_normalized\WHERE\41673665309194896-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\PLEASE\31545854783740124-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\PLEASE\49277089703101806-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\HELLO\081380748015633-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\40156343723600907-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\LIKE\5534005644089397-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\WHY\7308465390923164-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\WE\14563849425095032-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\6593382490905721-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\LESS\3974339076715794-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\WE\4810638311866906-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\YOU\03323585576449206-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\WHERE\3227845753007452-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\SORRY\1812960858393966-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\WE\6478160544982563-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\LIKE\8273164081850686-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\NO\9979731168048327-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\SORRY\9220637121525757-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\LIKE\8042345903835753-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\HELLO\7076961883712545-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\GOOD\9521412407799632-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\WHERE\6997365376367899-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\YES\09905526235759088-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\START\2730441796872136-START.npy,START
C:\ASL_Project\asl_training\features_normalized\NAME\7743830371689544-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WHEN\782941320203238-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\NO\7973429116215278-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\GOOD\1636907769941489-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\WE\5641210498834153-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\MORE\19756865098292908-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\PLEASE\5042323343464843-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\THANK YOU\0006320057552187119-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\LESS\2286569439935593-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\NO\4656606080155459-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\LIKE\9890231765881607-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features_normalized\MORE\8116309886717166-MORE.npy,MORE
C:\ASL_Project\asl_training\features_normalized\PLEASE\5305284657006966-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\WHEN\38702561454738094-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\BAD\34169036359301463-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\NO\2732741727030885-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\PLEASE\18053723532999788-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\YOU\4615046990058205-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\NAME\721473614329061-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\PLEASE\05859480723249688-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\PLEASE\9960146118001314-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\WHERE\37275461912744046-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\NO\5082858473744953-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\YES\8699610978899361-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\WHY\17485211510665932-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\GOOD\27179636245697747-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\HELP\9165653074606479-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\WHEN\21722735480722832-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\SORRY\2413023602974027-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features_normalized\WHEN\3058784544642419-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\HELP\8646796456836814-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\WHERE\12174913678763644-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\030959011181703078-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\NAME\45143019985078214-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WHEN\8687294124175742-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\WHEN\05635557714446593-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\NAME\9851992475740963-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\WHERE\17354191997018575-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features_normalized\NO\5278795760893484-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\THANK YOU\6912280773625425-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features_normalized\WE\17534725959416075-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\NAME\13831972157907857-NAME.npy,NAME
C:\ASL_Project\asl_training\features_normalized\LESS\42298974601594974-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\YOU\39734251970462897-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\WHY\5584013314005547-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\YES\38970444942928073-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\HELP\7616988400005291-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\GOOD\7988103105967095-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\8071758688201891-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\HELLO\8364377695946923-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\HELLO\1789715889624135-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\STOP\9586306157625994-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\WHEN\5845121089874201-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\LESS\2913694485470084-LESS.npy,LESS
C:\ASL_Project\asl_training\features_normalized\STOP\6864058804402533-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\GOOD\5817237493367622-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features_normalized\YES\9605571410103191-YES.npy,YES
C:\ASL_Project\asl_training\features_normalized\HELP\4382571867616978-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\WHY\9178007741963472-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\WHY\015395985479345287-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\BAD\1583686602856138-BAD.npy,BAD
C:\ASL_Project\asl_training\features_normalized\UNDERSTAND\1376861841044581-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features_normalized\STOP\564285386999722-STOP.npy,STOP
C:\ASL_Project\asl_training\features_normalized\WE\6062829066450051-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\YOU\7590157290604365-YOU.npy,YOU
C:\ASL_Project\asl_training\features_normalized\PLEASE\8835822739071177-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\LOVE\20482432773002457-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHY\6217493782065597-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\HELLO\020030442376253177-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features_normalized\WE\9125917375808354-WE.npy,WE
C:\ASL_Project\asl_training\features_normalized\PLEASE\43778843855311433-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features_normalized\WHEN\30761677377292984-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features_normalized\LOVE\3826611907286055-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\HELP\6037747479203328-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\NO\5372668319999747-NO.npy,NO
C:\ASL_Project\asl_training\features_normalized\LOVE\44744498444419367-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features_normalized\WHY\41986547104124017-WHY.npy,WHY
C:\ASL_Project\asl_training\features_normalized\HELP\5726113697968809-HELP.npy,HELP
C:\ASL_Project\asl_training\features_normalized\GOOD\04439224802145447-GOOD.npy,GOOD
