feature,label
C:\ASL_Project\asl_training\features\LOVE\20482432773002457-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\STOP\564285386999722-STOP.npy,STOP
C:\ASL_Project\asl_training\features\HELP\9165653074606479-HELP.npy,HELP
C:\ASL_Project\asl_training\features\STOP\7606933944529259-STOP.npy,STOP
C:\ASL_Project\asl_training\features\PLEASE\3584447878251358-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\WHY\38099175964004983-WHY.npy,WHY
C:\ASL_Project\asl_training\features\GOOD\8618976665727696-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\WHEN\4261844758894282-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\GOOD\4843579408025589-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\GOOD\6813680247909-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\LOVE\44419065960377635-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\HELLO\7076961883712545-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\WE\8865858542977822-WE.npy,WE
C:\ASL_Project\asl_training\features\THANK YOU\8487114823108493-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\HELLO\1789715889624135-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\UNDERSTAND\6745834273988278-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\PLEASE\4096147054343935-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\BAD\9411549614200669-BAD.npy,BAD
C:\ASL_Project\asl_training\features\WE\16994877911771145-WE.npy,WE
C:\ASL_Project\asl_training\features\WE\9125917375808354-WE.npy,WE
C:\ASL_Project\asl_training\features\SORRY\675487631009581-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\GOOD\04311614622944249-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\SORRY\15179467641851585-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\SORRY\6724466474942836-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\HELLO\25802117645943423-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\HELP\6967335705063062-HELP.npy,HELP
C:\ASL_Project\asl_training\features\UNDERSTAND\40550375821025386-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\UNDERSTAND\6504234134902995-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\LESS\775934637445302-LESS.npy,LESS
C:\ASL_Project\asl_training\features\HELLO\9203138462369036-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\WE\11801482805093366-WE.npy,WE
C:\ASL_Project\asl_training\features\NO\08228267952066615-NO.npy,NO
C:\ASL_Project\asl_training\features\NO\8079226457278508-NO.npy,NO
C:\ASL_Project\asl_training\features\MORE\813443212118808-MORE.npy,MORE
C:\ASL_Project\asl_training\features\PLEASE\5042323343464843-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\MORE\9421448198356972-MORE.npy,MORE
C:\ASL_Project\asl_training\features\NAME\7743830371689544-NAME.npy,NAME
C:\ASL_Project\asl_training\features\WE\8906582989498535-WE.npy,WE
C:\ASL_Project\asl_training\features\NO\8323715285073319-NO.npy,NO
C:\ASL_Project\asl_training\features\HELP\23773456898680978-HELP.npy,HELP
C:\ASL_Project\asl_training\features\STOP\692674622436245-STOP.npy,STOP
C:\ASL_Project\asl_training\features\HELP\7616988400005291-HELP.npy,HELP
C:\ASL_Project\asl_training\features\YES\41279108584600577-YES.npy,YES
C:\ASL_Project\asl_training\features\BAD\008134541577476506-BAD.npy,BAD
C:\ASL_Project\asl_training\features\YOU\6436088371555648-YOU.npy,YOU
C:\ASL_Project\asl_training\features\SORRY\5157432639091493-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\WHY\8351529407222296-WHY.npy,WHY
C:\ASL_Project\asl_training\features\START\18446305030701837-START.npy,START
C:\ASL_Project\asl_training\features\LESS\7172635775819549-LESS.npy,LESS
C:\ASL_Project\asl_training\features\BAD\5312089456577771-BAD.npy,BAD
C:\ASL_Project\asl_training\features\THANK YOU\936211950052861-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\WHY\17485211510665932-WHY.npy,WHY
C:\ASL_Project\asl_training\features\WE\5641210498834153-WE.npy,WE
C:\ASL_Project\asl_training\features\BAD\4720037702546913-BAD.npy,BAD
C:\ASL_Project\asl_training\features\SORRY\5199425437483545-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\GOOD\7085041042230886-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\BAD\09145990846220031-BAD.npy,BAD
C:\ASL_Project\asl_training\features\YOU\01653635897919692-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WE\17534725959416075-WE.npy,WE
C:\ASL_Project\asl_training\features\START\4303906374123354-START.npy,START
C:\ASL_Project\asl_training\features\BAD\9781465154800835-BAD.npy,BAD
C:\ASL_Project\asl_training\features\BAD\7628262965013866-BAD.npy,BAD
C:\ASL_Project\asl_training\features\LIKE\30651763223309914-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\NO\6645554412949413-NO.npy,NO
C:\ASL_Project\asl_training\features\STOP\35024304836544506-STOP.npy,STOP
C:\ASL_Project\asl_training\features\THANK YOU\16270426237316316-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\LIKE\23961420213829476-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\LOVE\4841662498241295-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\PLEASE\44272136216354463-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\WHEN\782941320203238-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\WHERE\9824526442836845-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\PLEASE\7328260605453549-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\LOVE\5578116007946967-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\PLEASE\8835822739071177-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\NAME\45850991964011034-NAME.npy,NAME
C:\ASL_Project\asl_training\features\UNDERSTAND\6508787541133374-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\LIKE\8273164081850686-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\START\8898769288524875-START.npy,START
C:\ASL_Project\asl_training\features\PLEASE\6936039479099299-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\GOOD\9338005039430839-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\WHEN\21722735480722832-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\STOP\1461467422069449-STOP.npy,STOP
C:\ASL_Project\asl_training\features\WHERE\8969965061622676-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\HELLO\20675411351630046-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\UNDERSTAND\1376861841044581-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\LIKE\6408927707140595-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\LESS\17812491887762083-LESS.npy,LESS
C:\ASL_Project\asl_training\features\HELLO\9042145214602195-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\LIKE\8042345903835753-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\WHERE\5194308575650113-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\GOOD\7988103105967095-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\HELP\1512241224851143-HELP.npy,HELP
C:\ASL_Project\asl_training\features\THANK YOU\9962081495357855-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\HELLO\9441415075906014-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\THANK YOU\6912280773625425-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\UNDERSTAND\0497069696398067-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\START\43058639110125596-START.npy,START
C:\ASL_Project\asl_training\features\WE\36753258402615074-WE.npy,WE
C:\ASL_Project\asl_training\features\WHEN\6225121332593893-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\WHERE\2868358953291379-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\STOP\38330302294288865-STOP.npy,STOP
C:\ASL_Project\asl_training\features\THANK YOU\16870669316247833-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\YOU\4615046990058205-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WHY\6392085873567048-WHY.npy,WHY
C:\ASL_Project\asl_training\features\GOOD\27179636245697747-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\THANK YOU\034197610787212396-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\NAME\4290157295522645-NAME.npy,NAME
C:\ASL_Project\asl_training\features\LESS\9690000210347673-LESS.npy,LESS
C:\ASL_Project\asl_training\features\PLEASE\9960146118001314-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\YOU\6198968659630029-YOU.npy,YOU
C:\ASL_Project\asl_training\features\GOOD\5199177562877719-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\WHERE\7968041209479837-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\WHERE\4223618248504115-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\WHEN\5215592040153327-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\HELLO\7648996670040624-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\WHEN\7219560821026212-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\WHY\9178007741963472-WHY.npy,WHY
C:\ASL_Project\asl_training\features\LESS\3092158568977723-LESS.npy,LESS
C:\ASL_Project\asl_training\features\MORE\7168321371853796-MORE.npy,MORE
C:\ASL_Project\asl_training\features\SORRY\9220637121525757-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\LESS\5517947193894646-LESS.npy,LESS
C:\ASL_Project\asl_training\features\NO\5372668319999747-NO.npy,NO
C:\ASL_Project\asl_training\features\GOOD\22413626372355933-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\THANK YOU\5932207271660643-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\SORRY\6387762756061144-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\LESS\818702114612541-LESS.npy,LESS
C:\ASL_Project\asl_training\features\YOU\7924736335453846-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WHEN\3058784544642419-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\WHERE\17354191997018575-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\THANK YOU\6788237257016723-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\WHERE\7750734997528588-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\YOU\2585581282288061-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WHY\41986547104124017-WHY.npy,WHY
C:\ASL_Project\asl_training\features\NAME\418905208580302-NAME.npy,NAME
C:\ASL_Project\asl_training\features\MORE\033095312435714064-MORE.npy,MORE
C:\ASL_Project\asl_training\features\STOP\4382853991304725-STOP.npy,STOP
C:\ASL_Project\asl_training\features\LIKE\6630595446275149-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\WE\193766215011427-WE.npy,WE
C:\ASL_Project\asl_training\features\HELLO\0022932153577568393-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\SORRY\29761682879368934-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\YOU\3273120364218567-YOU.npy,YOU
C:\ASL_Project\asl_training\features\WHERE\3614350392614152-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\YOU\17987836792170242-YOU.npy,YOU
C:\ASL_Project\asl_training\features\START\3528429322583728-START.npy,START
C:\ASL_Project\asl_training\features\THANK YOU\021145910536055412-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\HELP\15046472702938374-HELP.npy,HELP
C:\ASL_Project\asl_training\features\NAME\07550237967516482-NAME.npy,NAME
C:\ASL_Project\asl_training\features\LOVE\6414476924051264-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\UNDERSTAND\6810397598953175-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\HELP\3347819641252294-HELP.npy,HELP
C:\ASL_Project\asl_training\features\THANK YOU\35156313213734314-THANK YOU.npy,THANK YOU
C:\ASL_Project\asl_training\features\LIKE\754822541664977-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\SORRY\9645970507449169-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\GOOD\9756165063743225-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\NAME\6398020473925876-NAME.npy,NAME
C:\ASL_Project\asl_training\features\START\037584338939091744-START.npy,START
C:\ASL_Project\asl_training\features\UNDERSTAND\8604241021179426-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\PLEASE\18053723532999788-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\WHERE\6997365376367899-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\WHEN\9388978622277493-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\LESS\025934577509988177-LESS.npy,LESS
C:\ASL_Project\asl_training\features\HELP\8534077485600235-HELP.npy,HELP
C:\ASL_Project\asl_training\features\HELP\5043430847938863-HELP.npy,HELP
C:\ASL_Project\asl_training\features\WHERE\37275461912744046-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\NO\4656606080155459-NO.npy,NO
C:\ASL_Project\asl_training\features\START\39098476735830334-START.npy,START
C:\ASL_Project\asl_training\features\LIKE\5534005644089397-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\WE\4544218531641271-WE.npy,WE
C:\ASL_Project\asl_training\features\PLEASE\5305284657006966-PLEASE.npy,PLEASE
C:\ASL_Project\asl_training\features\SORRY\46389552341659956-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\WHERE\34697989347891944-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\START\8601200936840461-START.npy,START
C:\ASL_Project\asl_training\features\WHY\1861131167759893-WHY.npy,WHY
C:\ASL_Project\asl_training\features\LIKE\14992936899376108-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\MORE\8398312100057683-MORE.npy,MORE
C:\ASL_Project\asl_training\features\START\801970867640186-START.npy,START
C:\ASL_Project\asl_training\features\MORE\8385294089384643-MORE.npy,MORE
C:\ASL_Project\asl_training\features\YES\44146024789241256-YES.npy,YES
C:\ASL_Project\asl_training\features\HELP\7816987530892228-HELP.npy,HELP
C:\ASL_Project\asl_training\features\LESS\2913694485470084-LESS.npy,LESS
C:\ASL_Project\asl_training\features\GOOD\5948912677856568-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\STOP\08870380386555654-STOP.npy,STOP
C:\ASL_Project\asl_training\features\START\27723416720074834-START.npy,START
C:\ASL_Project\asl_training\features\NO\9542027365188674-NO.npy,NO
C:\ASL_Project\asl_training\features\WHY\3866568461228612-WHY.npy,WHY
C:\ASL_Project\asl_training\features\HELLO\3283413810240037-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\YES\38970444942928073-YES.npy,YES
C:\ASL_Project\asl_training\features\HELP\7353034835882497-HELP.npy,HELP
C:\ASL_Project\asl_training\features\LESS\7473791011085458-LESS.npy,LESS
C:\ASL_Project\asl_training\features\WHEN\30761677377292984-WHEN.npy,WHEN
C:\ASL_Project\asl_training\features\HELP\8218136220855874-HELP.npy,HELP
C:\ASL_Project\asl_training\features\YES\9715589334909431-YES.npy,YES
C:\ASL_Project\asl_training\features\YOU\7807683495721192-YOU.npy,YOU
C:\ASL_Project\asl_training\features\HELLO\1340650432799635-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\GOOD\008087702450223277-GOOD.npy,GOOD
C:\ASL_Project\asl_training\features\WHERE\41673665309194896-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\LOVE\44744498444419367-LOVE.npy,LOVE
C:\ASL_Project\asl_training\features\YES\9605571410103191-YES.npy,YES
C:\ASL_Project\asl_training\features\BAD\1583686602856138-BAD.npy,BAD
C:\ASL_Project\asl_training\features\UNDERSTAND\31049412762325446-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\LESS\42298974601594974-LESS.npy,LESS
C:\ASL_Project\asl_training\features\LIKE\030195387372940363-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\LESS\5607471755343187-LESS.npy,LESS
C:\ASL_Project\asl_training\features\UNDERSTAND\4687993210650012-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\YOU\677386009297865-YOU.npy,YOU
C:\ASL_Project\asl_training\features\UNDERSTAND\8071758688201891-UNDERSTAND.npy,UNDERSTAND
C:\ASL_Project\asl_training\features\YOU\7590157290604365-YOU.npy,YOU
C:\ASL_Project\asl_training\features\HELLO\11225598264242453-HELLO.npy,HELLO
C:\ASL_Project\asl_training\features\STOP\21963390619756917-STOP.npy,STOP
C:\ASL_Project\asl_training\features\START\4265612639832259-START.npy,START
C:\ASL_Project\asl_training\features\NAME\45143019985078214-NAME.npy,NAME
C:\ASL_Project\asl_training\features\SORRY\8594289353554898-SORRY.npy,SORRY
C:\ASL_Project\asl_training\features\WHERE\3227845753007452-WHERE.npy,WHERE
C:\ASL_Project\asl_training\features\MORE\6785155090626982-MORE.npy,MORE
C:\ASL_Project\asl_training\features\HELP\3982436455452034-HELP.npy,HELP
C:\ASL_Project\asl_training\features\STOP\5241068902608812-STOP.npy,STOP
C:\ASL_Project\asl_training\features\LIKE\06793339114876251-LIKE.npy,LIKE
C:\ASL_Project\asl_training\features\YOU\08882787638193945-YOU.npy,YOU
C:\ASL_Project\asl_training\features\START\7318461225950741-START.npy,START
C:\ASL_Project\asl_training\features\YES\050364485120873326-YES.npy,YES
C:\ASL_Project\asl_training\features\STOP\680707762189654-STOP.npy,STOP
C:\ASL_Project\asl_training\features\WHY\2565336440424879-WHY.npy,WHY
C:\ASL_Project\asl_training\features\BAD\41399470555461226-BAD.npy,BAD
